1,26,1168,2017-01-08
2,49,779,2017-02-12
3,80,850,2017-02-05
4,69,1585,2017-01-26
5,88,1052,2017-01-13
6,84,2363,2017-01-19
7,64,1410,2017-01-12
8,53,910,2017-01-11
9,21,1661,2017-01-19
10,53,2426,2017-02-18
11,64,2022,2017-01-07
12,36,2941,2017-01-28
13,99,3819,2017-01-19
14,64,2563,2017-02-16
15,91,752,2017-02-05
16,65,750,2017-02-04
17,19,2426,2017-02-23
18,19,724,2017-02-05
19,87,137,2017-01-25
20,86,2939,2017-01-14
21,92,159,2017-01-23
22,81,2331,2017-03-01
23,88,998,2017-01-20
24,38,102,2017-02-22
25,32,4813,2017-01-13
26,36,1671,2017-01-19
27,21,2260,2017-01-07
28,35,467,2017-01-03
29,95,2222,2017-03-01
30,41,1453,2017-01-19
31,76,3749,2017-02-20
32,57,1232,2017-03-01
33,29,66,2017-01-25
34,36,544,2017-02-14
35,99,1898,2017-02-14
36,40,1073,2017-01-09
37,42,2696,2017-01-07
38,76,1162,2017-02-08
39,44,344,2017-01-05
40,18,2453,2017-01-19
41,86,985,2017-02-08
42,59,739,2017-01-23
43,32,1169,2017-01-21
44,27,1127,2017-02-27
45,16,497,2017-02-09
46,80,388,2017-01-20
47,64,450,2017-01-03
48,69,222,2017-02-05
49,80,1652,2017-02-20
50,29,3034,2017-02-26
51,71,626,2017-02-06
52,50,2965,2017-01-16
53,57,2876,2017-02-27
54,88,2892,2017-02-20
55,75,1487,2017-01-29
56,89,2010,2017-02-12
57,79,3037,2017-01-10
58,93,2406,2017-03-01
59,33,676,2017-02-27
60,91,601,2017-01-22
61,64,159,2017-02-15
62,35,3600,2017-02-10
63,20,1243,2017-02-28
64,20,59,2017-02-01
65,22,820,2017-01-10
66,89,1978,2017-03-01
67,55,3271,2017-02-27
68,69,1574,2017-01-25
69,83,1389,2017-01-09
70,49,1075,2017-01-18
71,13,260,2017-02-19
72,17,349,2017-02-25
73,72,2925,2017-01-11
74,17,806,2017-02-17
75,94,144,2017-01-09
76,81,2727,2017-02-17
77,69,1830,2017-01-16
78,53,2249,2017-01-10
79,31,592,2017-01-30
80,89,917,2017-02-28
81,15,65,2017-02-22
82,62,27,2017-01-22
83,47,1231,2017-02-22
84,42,1261,2017-01-26
85,60,317,2017-01-22
86,28,2078,2017-02-05
87,31,1228,2017-02-16
88,70,1047,2017-02-22
89,75,2439,2017-02-19
90,45,1435,2017-03-01
91,74,814,2017-01-04
92,93,1812,2017-02-01
93,64,196,2017-01-23
94,67,4422,2017-01-13
95,27,1404,2017-02-16
96,86,215,2017-01-12
97,19,1405,2017-01-25
98,16,419,2017-02-23
99,26,2136,2017-03-01
100,49,1631,2017-01-02
101,50,3971,2017-01-26
102,33,776,2017-02-02
103,67,1477,2017-01-20
104,12,1137,2017-01-23
105,60,326,2017-01-14
106,39,2065,2017-02-28
107,68,109,2017-01-28
108,55,1233,2017-01-17
109,40,4355,2017-01-17
110,91,1299,2017-02-27
111,91,924,2017-03-01
112,63,2140,2017-01-03
113,98,2875,2017-01-15
114,41,2839,2017-02-16
115,64,68,2017-02-07
116,99,80,2017-01-21
117,84,45,2017-01-14
118,23,1368,2017-02-04
119,68,2932,2017-01-16
120,45,1214,2017-01-26
121,76,1294,2017-02-11
122,56,1849,2017-02-14
123,45,260,2017-02-10
124,55,1522,2017-01-13
125,53,846,2017-01-10
126,51,345,2017-02-21
127,34,639,2017-02-24
128,70,937,2017-02-04
129,90,913,2017-01-20
130,44,961,2017-01-14
131,89,3545,2017-01-13
132,79,3374,2017-02-03
133,28,104,2017-02-20
134,45,4160,2017-01-11
135,51,1492,2017-01-28
136,19,658,2017-02-28
137,54,3969,2017-01-10
138,11,1291,2017-02-27
139,51,4626,2017-02-24
140,68,1410,2017-02-19
141,40,94,2017-01-25
142,26,500,2017-01-06
143,11,1783,2017-03-01
144,41,3184,2017-01-28
145,78,790,2017-01-26
146,26,425,2017-01-06
147,94,778,2017-02-18
148,88,1848,2017-01-07
149,29,593,2017-02-03
150,78,405,2017-01-23
151,45,1123,2017-02-22
152,51,946,2017-02-19
153,27,598,2017-01-18
154,80,2497,2017-01-20
155,53,3063,2017-01-13
156,80,1443,2017-02-21
157,75,669,2017-01-20
158,77,2543,2017-01-29
159,82,2744,2017-01-24
160,68,2086,2017-02-10
161,72,302,2017-01-24
162,92,548,2017-02-21
163,23,279,2017-01-12
164,40,12,2017-01-13
165,78,785,2017-01-11
166,55,1250,2017-01-08
167,44,2127,2017-01-14
168,43,308,2017-02-17
169,39,98,2017-01-27
170,16,1127,2017-02-27
171,56,1772,2017-01-07
172,32,623,2017-01-03
173,77,860,2017-02-09
174,34,2759,2017-01-15
175,58,3027,2017-01-04
176,47,4419,2017-01-27
177,68,22,2017-02-16
178,67,877,2017-01-12
179,58,1149,2017-01-13
180,46,1198,2017-02-19
181,47,1002,2017-01-03
182,53,4184,2017-02-13
183,51,1231,2017-01-19
184,29,1547,2017-02-24
185,74,1842,2017-01-18
186,29,1198,2017-01-31
187,60,377,2017-01-29
188,74,630,2017-02-10
189,47,2366,2017-01-09
190,34,834,2017-02-11
191,62,2210,2017-01-12
192,54,1536,2017-01-30
193,75,130,2017-01-14
194,74,190,2017-02-20
195,99,3320,2017-02-08
196,91,3201,2017-02-01
197,90,319,2017-02-21
198,96,692,2017-02-03
199,95,1858,2017-01-03
200,40,1353,2017-01-06
