2017-01-02,552
2017-01-03,1092
2017-01-04,1794
2017-01-05,435
2017-01-06,960
2017-01-07,1066
2017-01-08,1354
2017-01-09,880
2017-01-10,1992
2017-01-11,931
2017-01-12,1209
2017-01-13,1491
2017-01-14,804
2017-01-15,480
2017-01-16,1891
2017-01-17,156
2017-01-18,1439
2017-01-19,1018
2017-01-20,1506
2017-01-21,1216
2017-01-22,2045
2017-01-23,400
2017-01-24,1795
2017-01-25,1977
2017-01-26,1002
2017-01-27,226
2017-01-28,1239
2017-01-29,702
2017-01-30,1396
2017-01-31,1145
2017-02-01,1369
2017-02-02,1159
2017-02-03,1538
2017-02-04,858
2017-02-05,612
2017-02-06,702
2017-02-07,137
2017-02-08,549
2017-02-09,720
2017-02-10,877
2017-02-11,808
2017-02-12,20
2017-02-13,579
2017-02-14,1952
2017-02-15,1311
2017-02-16,1995
2017-02-17,847
2017-02-18,955
2017-02-19,908
2017-02-20,401
2017-02-21,581
2017-02-22,2033
2017-02-23,719
2017-02-24,1638
2017-02-25,476
2017-02-26,17
2017-02-27,839
2017-02-28,1468
2017-03-01,1570
2017-03-02,1836
